feature,class_0_shap,class_1_shap,class_2_shap,mean_abs_shap
40,0.004221421313666941,0.004419461591848031,448030981265.7579,149343660421.92218
earth,0.003967417083345189,0.00386450019915884,448030981265.75397,149343660421.9206
scratch,0.05862220794437622,0.01205439151273292,0.043019216668954,0.03789860537535438
crystals,0.0032259321272404716,0.010045978870433786,0.027378881356888797,0.013550264118187683
rub,0.007247710928615969,0.0171322527333279,0.015460266083761397,0.013280076581901756
looking,0.006599029101573432,0.01439496134151241,0.015235880611675068,0.012076623684920304
look,0.0037042228144641225,0.009465575270710529,0.01657012819707039,0.009913308760748347
calcite,0.0032354481792605367,0.012750477201788079,0.01214156968693215,0.009375831689326921
vitamin,0.015755551879602106,0.007293794636033451,0.003848464691623238,0.008965937069086265
evaporated,0.013279835790242906,0.011623708211823514,0.0,0.00830118133402214
